Category,Exercise,Variation
Isolation,Leg Extension,"Pronated, Shoulder Width, Dumbbell"
Isolation,Tricep Pushdown,"Supinated, Narrow, Machine"
Squat,Belt Squat,"Supinated, Wide, Smith Machine"
Squat,Safety Bar Squat,"Neutral, Staggered, Bodyweight"
Pull,Cable Row,"Neutral, Shoulder Width, Machine"
Hinge,Romanian Deadlift,"Mixed, Wide, Dumbbell"
Isolation,Bicep Curl,"Supinated, Bodyweight, Deficit"
Pull,Cable Row,"Supinated, Cable, Chains"
Pull,Chest Supported Row,"Neutral, Dumbbell, Chains"
Squat,Goblet Squat,"Pronated, Shoulder Width, Cable"
Hinge,Hip Thrust,"Mixed, Shoulder Width, Bodyweight"
Press,Decline Bench Press,"Neutral, Smith Machine, Single Arm"
Isolation,Lateral Raise,"False, Wide, Bodyweight"
Pull,Chin-Up,"Pronated, Wide, Bodyweight"
Squat,Belt Squat,"Mixed, Wide, Smith Machine"
Press,Smith Machine Press,"Supinated, Narrow, Dumbbell"
Press,Dumbbell Bench Press,"False, Wide, Machine"
Squat,Zercher Squat,"Supinated, Bodyweight, Deficit"
Squat,Goblet Squat,"Pronated, Dumbbell, Bands"
Isolation,Leg Curl,"Pronated, Staggered, Dumbbell"
Isolation,Leg Curl,"Supinated, Wide, Barbell"
Squat,Hack Squat,"Pronated, Shoulder Width, Cable"
Hinge,Romanian Deadlift,"Mixed, Shoulder Width, Machine"
Squat,Hack Squat,"Supinated, Smith Machine, Bands"
Hinge,Deadlift,"Supinated, Dumbbell, Feet Elevated"
Isolation,Bicep Curl,"Neutral, Bodyweight, Elevated Heels"
Squat,Front Squat,"Neutral, Bodyweight, Feet Elevated"
Squat,Belt Squat,"Supinated, Cable, Single Arm"
Hinge,Romanian Deadlift,"False, Split, Dumbbell"
Press,Dip,"Mixed, Wide, Machine"
Press,Barbell Bench Press,"Mixed, Staggered, Bodyweight"
Hinge,Back Extension,"Neutral, Dumbbell, Single Arm"
Press,Smith Machine Press,"Supinated, Machine, Feet Elevated"
Squat,Goblet Squat,"False, Wide, Barbell"
Squat,Goblet Squat,"Pronated, Shoulder Width, Barbell"
Hinge,Deadlift,"Pronated, Dumbbell, Elevated Heels"
Press,Dip,"Pronated, Cable, Bands"
Isolation,Tricep Pushdown,"Supinated, Split, Smith Machine"
Squat,Front Squat,"Mixed, Narrow, Barbell"
Hinge,Romanian Deadlift,"Supinated, Dumbbell, Chains"
Squat,Zercher Squat,"Neutral, Bodyweight, Elevated Heels"
Squat,Goblet Squat,"Neutral, Barbell, Elevated Heels"
Press,Dumbbell Bench Press,"Supinated, Shoulder Width, Dumbbell"
Isolation,Leg Curl,"Neutral, Split, Machine"
Pull,Cable Row,"Neutral, Cable, Bands"
Hinge,Romanian Deadlift,"Neutral, Machine, Single Arm"
Pull,Lat Pulldown,"False, Narrow, Machine"
Squat,Hack Squat,"False, Wide, Barbell"
Squat,Hack Squat,"Pronated, Shoulder Width, Barbell"
Hinge,Hip Thrust,"False, Staggered, Bodyweight"
Press,Incline Bench Press,"Pronated, Barbell, Feet Elevated"
Hinge,Back Extension,"False, Shoulder Width, Barbell"
Squat,Hack Squat,"Neutral, Barbell, Elevated Heels"
Hinge,Romanian Deadlift,"False, Split, Cable"
Isolation,Bicep Curl,"Pronated, Smith Machine, Single Arm"
Press,Decline Bench Press,"Supinated, Staggered, Barbell"
Pull,Lat Pulldown,"Neutral, Bodyweight, Bands"
Pull,Chest Supported Row,"Supinated, Machine, Single Arm"
Isolation,Rear Delt Fly,"Supinated, Staggered, Bodyweight"
Isolation,Bicep Curl,"Pronated, Split, Smith Machine"
Hinge,Hip Thrust,"Neutral, Staggered, Bodyweight"
Squat,Safety Bar Squat,"Supinated, Dumbbell, Deficit"
Pull,Pull-Up,"False, Wide, Dumbbell"
Squat,Goblet Squat,"Neutral, Wide, Machine"
Squat,Zercher Squat,"Pronated, Smith Machine, Single Arm"
Press,Incline Bench Press,"Neutral, Cable, Chains"
Squat,Back Squat,"Supinated, Smith Machine, Chains"
Squat,Hack Squat,"Supinated, Barbell, Single Arm"
Press,Dip,"False, Split, Bodyweight"
Isolation,Calf Raise,"Neutral, Split, Dumbbell"
Squat,Zercher Squat,"Pronated, Split, Smith Machine"
Pull,Chest Supported Row,"Mixed, Wide, Barbell"
Hinge,Romanian Deadlift,"Pronated, Bodyweight, Single Arm"
Isolation,Bicep Curl,"Neutral, Smith Machine, Chains"
Squat,Goblet Squat,"Neutral, Machine, Bands"
Squat,Hack Squat,"Neutral, Wide, Machine"
Isolation,Bicep Curl,"False, Narrow, Dumbbell"
Hinge,Deadlift,"Pronated, Wide, Smith Machine"
Isolation,Leg Curl,"Supinated, Machine, Deficit"
Isolation,Leg Extension,"Supinated, Machine, Bands"
Press,Machine Chest Press,"Supinated, Split, Barbell"
Hinge,Deadlift,"Pronated, Narrow, Smith Machine"
Pull,T-Bar Row,"Neutral, Dumbbell, Chains"
Squat,Back Squat,"Neutral, Staggered, Dumbbell"
Pull,Pull-Up,"Neutral, Shoulder Width, Barbell"
Hinge,Stiff-Leg Deadlift,"Mixed, Shoulder Width, Machine"
Squat,Zercher Squat,"Neutral, Smith Machine, Chains"
Hinge,Good Morning,"False, Narrow, Machine"
Squat,Hack Squat,"Neutral, Machine, Bands"
Press,Overhead Press,"Pronated, Smith Machine, Bands"
Hinge,Hip Thrust,"Mixed, Split, Machine"
Squat,Zercher Squat,"Supinated, Barbell, Feet Elevated"
Press,Dip,"Neutral, Smith Machine, Single Arm"
Hinge,Deadlift,"Pronated, Machine, Deficit"
Isolation,Leg Extension,"Supinated, Bodyweight, Feet Elevated"
Hinge,Romanian Deadlift,"Mixed, Split, Cable"
Isolation,Calf Raise,"Pronated, Split, Machine"
Hinge,Good Morning,"Neutral, Bodyweight, Bands"
Hinge,Stiff-Leg Deadlift,"False, Split, Dumbbell"
Press,Smith Machine Press,"Pronated, Wide, Dumbbell"
Pull,Pull-Up,"False, Shoulder Width, Bodyweight"
Squat,Safety Bar Squat,"Pronated, Staggered, Barbell"
Press,Incline Bench Press,"Supinated, Smith Machine, Deficit"
Squat,Goblet Squat,"Pronated, Bodyweight, Chains"
Squat,Zercher Squat,"False, Narrow, Barbell"
Hinge,Deadlift,"Neutral, Machine, Chains"
Hinge,Stiff-Leg Deadlift,"Supinated, Dumbbell, Chains"
Squat,Back Squat,"Mixed, Narrow, Smith Machine"
Isolation,Calf Raise,"Pronated, Split, Cable"
Isolation,Tricep Pushdown,"Pronated, Cable, Chains"
Pull,Pull-Up,"False, Shoulder Width, Dumbbell"
Pull,Barbell Row,"Pronated, Machine, Feet Elevated"
Pull,Chest Supported Row,"Pronated, Cable, Elevated Heels"
Hinge,Deadlift,"Supinated, Bodyweight, Bands"
Hinge,Stiff-Leg Deadlift,"Neutral, Machine, Single Arm"
Squat,Goblet Squat,"Pronated, Barbell, Elevated Heels"
Squat,Goblet Squat,"Neutral, Smith Machine, Deficit"
Hinge,Romanian Deadlift,"Pronated, Wide, Bodyweight"
Isolation,Lateral Raise,"Supinated, Staggered, Bodyweight"
Press,Dumbbell Bench Press,"Neutral, Staggered, Barbell"
Squat,Goblet Squat,"Supinated, Shoulder Width, Cable"
Hinge,Stiff-Leg Deadlift,"False, Split, Cable"
Isolation,Tricep Pushdown,"Supinated, Staggered, Cable"
Hinge,Deadlift,"Mixed, Split, Bodyweight"
Press,Barbell Bench Press,"Pronated, Bodyweight, Deficit"
Press,Dumbbell Bench Press,"Neutral, Barbell, Deficit"
Pull,Chin-Up,"Pronated, Cable, Chains"
Press,Decline Bench Press,"Neutral, Narrow, Dumbbell"
Hinge,Deadlift,"False, Split, Barbell"
Pull,Pull-Up,"Pronated, Smith Machine, Chains"
Squat,Hack Squat,"Pronated, Barbell, Elevated Heels"
Press,Decline Bench Press,"Supinated, Smith Machine, Single Arm"
Squat,Goblet Squat,"Supinated, Shoulder Width, Smith Machine"
Isolation,Rear Delt Fly,"Mixed, Shoulder Width, Cable"
Pull,T-Bar Row,"Supinated, Machine, Single Arm"
Pull,Chin-Up,"Supinated, Staggered, Cable"
Pull,Barbell Row,"Neutral, Split, Bodyweight"
Squat,Belt Squat,"Mixed, Shoulder Width, Smith Machine"
Press,Dip,"Supinated, Staggered, Barbell"
Isolation,Rear Delt Fly,"Pronated, Bodyweight, Feet Elevated"
Squat,Zercher Squat,"Mixed, Split, Dumbbell"
Hinge,Romanian Deadlift,"Neutral, Wide, Smith Machine"
Pull,Pull-Up,"Mixed, Shoulder Width, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Pronated, Bodyweight, Single Arm"
Squat,Back Squat,"Pronated, Narrow, Barbell"
Isolation,Rear Delt Fly,"Supinated, Split, Dumbbell"
Isolation,Tricep Pushdown,"Supinated, Barbell, Chains"
Press,Dumbbell Bench Press,"Neutral, Cable, Feet Elevated"
Squat,Goblet Squat,"Neutral, Barbell, Chains"
Squat,Safety Bar Squat,"Supinated, Cable, Chains"
Hinge,Romanian Deadlift,"Pronated, Shoulder Width, Smith Machine"
Squat,Hack Squat,"Supinated, Shoulder Width, Smith Machine"
Press,Smith Machine Press,"Neutral, Split, Smith Machine"
Press,Dumbbell Bench Press,"Supinated, Staggered, Machine"
Squat,Belt Squat,"Mixed, Wide, Barbell"
Hinge,Back Extension,"False, Staggered, Smith Machine"
Pull,T-Bar Row,"Mixed, Wide, Barbell"
Pull,Chest Supported Row,"Pronated, Shoulder Width, Machine"
Squat,Hack Squat,"Neutral, Barbell, Chains"
Pull,Chin-Up,"Supinated, Barbell, Chains"
Isolation,Leg Curl,"Pronated, Shoulder Width, Bodyweight"
Pull,Chest Supported Row,"Supinated, Dumbbell, Single Arm"
Hinge,Deadlift,"Pronated, Cable, Single Arm"
Pull,Barbell Row,"Pronated, Staggered, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Mixed, Split, Cable"
Hinge,Hip Thrust,"Pronated, Staggered, Barbell"
Squat,Back Squat,"Supinated, Narrow, Machine"
Squat,Goblet Squat,"Mixed, Wide, Cable"
Isolation,Leg Curl,"Neutral, Dumbbell, Single Arm"
Squat,Safety Bar Squat,"Pronated, Cable, Bands"
Isolation,Calf Raise,"Mixed, Staggered, Dumbbell"
Isolation,Calf Raise,"Pronated, Dumbbell, Deficit"
Press,Decline Bench Press,"Neutral, Bodyweight, Feet Elevated"
Press,Dumbbell Bench Press,"Neutral, Dumbbell, Elevated Heels"
Isolation,Tricep Pushdown,"False, Wide, Machine"
Pull,Lat Pulldown,"Neutral, Dumbbell, Chains"
Squat,Goblet Squat,"Pronated, Cable, Deficit"
Squat,Hack Squat,"Mixed, Wide, Cable"
Press,Incline Bench Press,"Supinated, Dumbbell, Bands"
Pull,Pull-Up,"False, Staggered, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Pronated, Wide, Bodyweight"
Pull,Chin-Up,"Pronated, Machine, Feet Elevated"
Pull,Chest Supported Row,"Pronated, Smith Machine, Bands"
Squat,Safety Bar Squat,"Neutral, Cable, Bands"
Press,Machine Chest Press,"Pronated, Dumbbell, Single Arm"
Pull,T-Bar Row,"Pronated, Cable, Elevated Heels"
Isolation,Lateral Raise,"Mixed, Shoulder Width, Cable"
Press,Overhead Press,"Neutral, Wide, Dumbbell"
Pull,Chin-Up,"False, Wide, Machine"
Squat,Belt Squat,"Mixed, Narrow, Smith Machine"
Squat,Hack Squat,"Pronated, Cable, Deficit"
Pull,Pull-Up,"Neutral, Staggered, Bodyweight"
Isolation,Lateral Raise,"Pronated, Bodyweight, Feet Elevated"
Squat,Safety Bar Squat,"Supinated, Dumbbell, Elevated Heels"
Hinge,Back Extension,"Neutral, Wide, Cable"
Squat,Goblet Squat,"Supinated, Smith Machine, Elevated Heels"
Isolation,Lateral Raise,"Supinated, Split, Dumbbell"
Hinge,Deadlift,"Supinated, Smith Machine, Feet Elevated"
Isolation,Bicep Curl,"Pronated, Barbell, Feet Elevated"
Isolation,Tricep Pushdown,"Supinated, Shoulder Width, Dumbbell"
Press,Machine Chest Press,"Neutral, Split, Cable"
Squat,Back Squat,"Supinated, Split, Smith Machine"
Hinge,Back Extension,"Neutral, Barbell, Single Arm"
Pull,Chest Supported Row,"Pronated, Narrow, Bodyweight"
Squat,Hack Squat,"Supinated, Smith Machine, Elevated Heels"
Squat,Goblet Squat,"Neutral, Barbell, Bands"
Pull,Cable Row,"Supinated, Barbell, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"Pronated, Shoulder Width, Smith Machine"
Press,Dumbbell Bench Press,"Supinated, Narrow, Bodyweight"
Hinge,Back Extension,"False, Staggered, Barbell"
Press,Dip,"Supinated, Smith Machine, Single Arm"
Hinge,Deadlift,"Neutral, Machine, Elevated Heels"
Hinge,Good Morning,"Neutral, Dumbbell, Chains"
Press,Overhead Press,"Pronated, Split, Smith Machine"
Isolation,Bicep Curl,"False, Narrow, Bodyweight"
Squat,Front Squat,"Neutral, Bodyweight, Chains"
Isolation,Leg Extension,"Neutral, Shoulder Width, Barbell"
Squat,Hack Squat,"Neutral, Barbell, Bands"
Hinge,Hip Thrust,"Mixed, Wide, Machine"
Pull,Pull-Up,"Mixed, Split, Machine"
Pull,Lat Pulldown,"Supinated, Machine, Single Arm"
Squat,Safety Bar Squat,"Neutral, Smith Machine, Single Arm"
Pull,Cable Row,"Supinated, Cable, Elevated Heels"
Hinge,Hip Thrust,"Pronated, Cable, Bands"
Isolation,Leg Extension,"False, Shoulder Width, Bodyweight"
Press,Overhead Press,"Neutral, Smith Machine, Chains"
Squat,Zercher Squat,"False, Narrow, Bodyweight"
Pull,T-Bar Row,"Pronated, Shoulder Width, Machine"
Press,Barbell Bench Press,"Pronated, Wide, Cable"
Press,Overhead Press,"Supinated, Barbell, Feet Elevated"
Hinge,Back Extension,"Supinated, Machine, Chains"
Isolation,Leg Extension,"False, Shoulder Width, Dumbbell"
Pull,Lat Pulldown,"Mixed, Wide, Barbell"
Squat,Safety Bar Squat,"Neutral, Shoulder Width, Smith Machine"
Press,Dip,"Neutral, Cable, Chains"
Press,Incline Bench Press,"Pronated, Split, Bodyweight"
Squat,Front Squat,"False, Staggered, Dumbbell"
Press,Overhead Press,"False, Narrow, Barbell"
Isolation,Rear Delt Fly,"Neutral, Smith Machine, Feet Elevated"
Squat,Goblet Squat,"False, Wide, Smith Machine"
Pull,Lat Pulldown,"Supinated, Bodyweight, Elevated Heels"
Press,Smith Machine Press,"Neutral, Narrow, Bodyweight"
Isolation,Calf Raise,"Mixed, Shoulder Width, Barbell"
Squat,Goblet Squat,"False, Shoulder Width, Machine"
Press,Dip,"Neutral, Bodyweight, Feet Elevated"
Press,Incline Bench Press,"Mixed, Narrow, Dumbbell"
Pull,Chest Supported Row,"Supinated, Bodyweight, Deficit"
Press,Smith Machine Press,"Pronated, Narrow, Cable"
Squat,Front Squat,"Supinated, Staggered, Dumbbell"
Pull,Cable Row,"Mixed, Narrow, Barbell"
Squat,Front Squat,"Supinated, Machine, Elevated Heels"
Squat,Belt Squat,"Pronated, Smith Machine, Bands"
Press,Barbell Bench Press,"Mixed, Staggered, Smith Machine"
Hinge,Back Extension,"Neutral, Staggered, Cable"
Isolation,Leg Extension,"Pronated, Smith Machine, Chains"
Hinge,Hip Thrust,"False, Split, Bodyweight"
Press,Incline Bench Press,"Supinated, Cable, Bands"
Pull,T-Bar Row,"Pronated, Smith Machine, Bands"
Squat,Hack Squat,"False, Wide, Smith Machine"
Hinge,Back Extension,"Neutral, Bodyweight, Deficit"
Squat,Hack Squat,"False, Shoulder Width, Machine"
Hinge,Good Morning,"Supinated, Machine, Single Arm"
Isolation,Calf Raise,"Pronated, Machine, Bands"
Squat,Safety Bar Squat,"Supinated, Staggered, Barbell"
Hinge,Good Morning,"Mixed, Shoulder Width, Smith Machine"
Hinge,Deadlift,"Mixed, Staggered, Bodyweight"
Isolation,Leg Extension,"Mixed, Shoulder Width, Bodyweight"
Press,Incline Bench Press,"False, Split, Smith Machine"
Isolation,Tricep Pushdown,"Neutral, Staggered, Barbell"
Squat,Front Squat,"Mixed, Narrow, Bodyweight"
Pull,Chest Supported Row,"Neutral, Bodyweight, Elevated Heels"
Pull,Lat Pulldown,"Pronated, Cable, Elevated Heels"
Press,Dip,"Supinated, Smith Machine, Deficit"
Squat,Front Squat,"Neutral, Narrow, Smith Machine"
Isolation,Tricep Pushdown,"Neutral, Barbell, Deficit"
Isolation,Leg Curl,"False, Staggered, Smith Machine"
Press,Overhead Press,"Mixed, Split, Dumbbell"
Hinge,Good Morning,"Mixed, Wide, Barbell"
Pull,T-Bar Row,"Pronated, Narrow, Bodyweight"
Press,Smith Machine Press,"Neutral, Smith Machine, Bands"
Hinge,Romanian Deadlift,"Pronated, Machine, Feet Elevated"
Isolation,Calf Raise,"Neutral, Wide, Smith Machine"
Press,Smith Machine Press,"Pronated, Staggered, Dumbbell"
Press,Smith Machine Press,"Supinated, Wide, Barbell"
Pull,Barbell Row,"Supinated, Barbell, Bands"
Hinge,Hip Thrust,"Neutral, Smith Machine, Single Arm"
Hinge,Stiff-Leg Deadlift,"Pronated, Cable, Chains"
Press,Machine Chest Press,"Pronated, Wide, Smith Machine"
Pull,Chin-Up,"Neutral, Wide, Barbell"
Squat,Front Squat,"False, Staggered, Cable"
Press,Barbell Bench Press,"Supinated, Barbell, Elevated Heels"
Squat,Front Squat,"Neutral, Narrow, Barbell"
Pull,Pull-Up,"Pronated, Staggered, Barbell"
Hinge,Back Extension,"Pronated, Barbell, Deficit"
Press,Machine Chest Press,"Pronated, Narrow, Smith Machine"
Pull,Chin-Up,"Neutral, Barbell, Deficit"
Hinge,Back Extension,"False, Narrow, Cable"
Isolation,Tricep Pushdown,"Neutral, Cable, Feet Elevated"
Press,Incline Bench Press,"Supinated, Shoulder Width, Machine"
Press,Machine Chest Press,"Neutral, Smith Machine, Deficit"
Hinge,Stiff-Leg Deadlift,"Supinated, Staggered, Cable"
Pull,Chest Supported Row,"Pronated, Smith Machine, Single Arm"
Isolation,Lateral Raise,"Neutral, Smith Machine, Feet Elevated"
Isolation,Tricep Pushdown,"Supinated, Staggered, Machine"
Hinge,Back Extension,"Neutral, Machine, Feet Elevated"
Pull,Barbell Row,"Neutral, Dumbbell, Feet Elevated"
Squat,Front Squat,"Pronated, Cable, Feet Elevated"
Squat,Back Squat,"Supinated, Barbell, Chains"
Pull,Chest Supported Row,"Pronated, Split, Smith Machine"
Press,Machine Chest Press,"Neutral, Machine, Chains"
Hinge,Romanian Deadlift,"Neutral, Split, Bodyweight"
Isolation,Leg Extension,"False, Staggered, Bodyweight"
Pull,Chin-Up,"Neutral, Cable, Feet Elevated"
Hinge,Back Extension,"Neutral, Staggered, Smith Machine"
Hinge,Good Morning,"Pronated, Cable, Elevated Heels"
Pull,Chin-Up,"Supinated, Staggered, Machine"
Press,Machine Chest Press,"Supinated, Bodyweight, Bands"
Squat,Front Squat,"Supinated, Split, Cable"
Press,Incline Bench Press,"Neutral, Shoulder Width, Cable"
Pull,Lat Pulldown,"Pronated, Shoulder Width, Machine"
Isolation,Calf Raise,"Neutral, Narrow, Machine"
Pull,Chest Supported Row,"Neutral, Smith Machine, Chains"
Isolation,Leg Extension,"Neutral, Staggered, Bodyweight"
Pull,Lat Pulldown,"Supinated, Dumbbell, Single Arm"
Isolation,Leg Curl,"Neutral, Wide, Cable"
Isolation,Bicep Curl,"Supinated, Dumbbell, Bands"
Hinge,Hip Thrust,"Supinated, Staggered, Barbell"
Pull,Cable Row,"Neutral, Barbell, Feet Elevated"
Pull,Chest Supported Row,"Supinated, Barbell, Feet Elevated"
Isolation,Tricep Pushdown,"Neutral, Dumbbell, Elevated Heels"
Pull,T-Bar Row,"Supinated, Bodyweight, Deficit"
Isolation,Rear Delt Fly,"Neutral, Dumbbell, Deficit"
Press,Machine Chest Press,"False, Split, Barbell"
Hinge,Romanian Deadlift,"Pronated, Staggered, Smith Machine"
Squat,Safety Bar Squat,"Neutral, Narrow, Dumbbell"
Isolation,Leg Curl,"Neutral, Barbell, Single Arm"
Isolation,Calf Raise,"Pronated, Narrow, Machine"
Pull,Chest Supported Row,"False, Narrow, Barbell"
Squat,Goblet Squat,"Neutral, Shoulder Width, Machine"
Isolation,Leg Curl,"False, Staggered, Barbell"
Pull,Chin-Up,"Neutral, Dumbbell, Elevated Heels"
Press,Smith Machine Press,"Supinated, Machine, Deficit"
Press,Incline Bench Press,"Supinated, Bodyweight, Single Arm"
Isolation,Bicep Curl,"Supinated, Split, Bodyweight"
Pull,Chin-Up,"False, Wide, Bodyweight"
Press,Dumbbell Bench Press,"Mixed, Shoulder Width, Cable"
Hinge,Stiff-Leg Deadlift,"Pronated, Machine, Feet Elevated"
Press,Overhead Press,"Mixed, Narrow, Machine"
Pull,Lat Pulldown,"Pronated, Smith Machine, Bands"
Pull,T-Bar Row,"Neutral, Bodyweight, Elevated Heels"
Pull,Pull-Up,"Mixed, Wide, Machine"
Squat,Belt Squat,"Neutral, Wide, Dumbbell"
Hinge,Stiff-Leg Deadlift,"False, Wide, Machine"
Press,Dip,"Supinated, Dumbbell, Bands"
Isolation,Calf Raise,"Supinated, Wide, Bodyweight"
Press,Dumbbell Bench Press,"Supinated, Split, Dumbbell"
Pull,Pull-Up,"Pronated, Cable, Bands"
Squat,Hack Squat,"Supinated, Cable, Chains"
Hinge,Deadlift,"Pronated, Bodyweight, Deficit"
Squat,Front Squat,"False, Staggered, Machine"
Squat,Zercher Squat,"Supinated, Split, Bodyweight"
Isolation,Rear Delt Fly,"Supinated, Cable, Deficit"
Isolation,Rear Delt Fly,"Supinated, Shoulder Width, Barbell"
Squat,Back Squat,"Supinated, Shoulder Width, Dumbbell"
Hinge,Back Extension,"Neutral, Staggered, Machine"
Isolation,Tricep Pushdown,"Supinated, Narrow, Bodyweight"
Pull,Lat Pulldown,"Pronated, Narrow, Bodyweight"
Pull,Barbell Row,"Supinated, Staggered, Bodyweight"
Press,Smith Machine Press,"Pronated, Machine, Chains"
Hinge,Stiff-Leg Deadlift,"Neutral, Split, Bodyweight"
Pull,T-Bar Row,"Pronated, Smith Machine, Single Arm"
Press,Overhead Press,"Pronated, Barbell, Single Arm"
Squat,Safety Bar Squat,"Neutral, Bodyweight, Feet Elevated"
Press,Incline Bench Press,"Supinated, Barbell, Deficit"
Squat,Goblet Squat,"Neutral, Cable, Bands"
Pull,T-Bar Row,"Pronated, Split, Smith Machine"
Isolation,Lateral Raise,"Neutral, Dumbbell, Deficit"
Isolation,Leg Extension,"Supinated, Dumbbell, Deficit"
Pull,Pull-Up,"False, Split, Bodyweight"
Isolation,Bicep Curl,"Pronated, Split, Bodyweight"
Press,Decline Bench Press,"Supinated, Wide, Cable"
Hinge,Good Morning,"Pronated, Smith Machine, Bands"
Squat,Safety Bar Squat,"Mixed, Narrow, Barbell"
Squat,Hack Squat,"Neutral, Cable, Bands"
Isolation,Bicep Curl,"Mixed, Narrow, Dumbbell"
Isolation,Calf Raise,"Neutral, Cable, Deficit"
Hinge,Stiff-Leg Deadlift,"Pronated, Staggered, Smith Machine"
Press,Decline Bench Press,"Supinated, Staggered, Dumbbell"
Pull,T-Bar Row,"Neutral, Smith Machine, Chains"
Squat,Front Squat,"Neutral, Bodyweight, Single Arm"
Squat,Belt Squat,"Supinated, Barbell, Feet Elevated"
Hinge,Hip Thrust,"Supinated, Smith Machine, Single Arm"
